ALG,TIP,TAM,MRW,INT,EPS,PTR,TRW,PTE,DTI,DTF,MEP
DDQN,MA_1p5BP_newS,2,32,9457.123069139905,88.94047431591368,7085.922828972386,66.87800218130096,2022-05-31 09:57:05.536266,84690,2022-05-31 15:13:49.697144,/media/leandro/EXTRA/DEV/DRL/Resultados/DDQN/MA_1p5BP_newS/2M/32/2022531_9575/DDQN_MA_1p5BP_newS_32_2022531_9575,50,50
A2C,MA_1p5BP_newSt,2,32,6579.543456711338,82.4764394000071,9552.060829077267,88.55578295573797,105553,2022-05-31 09:56:44,2022-05-31 16:30:34,/media/leandro/EXTRA/DEV/DRL/Resultados/A2C/MA_1p5BP_newSt/2M/32/2022531_95644/A2C_MA_1p5BP_newSt_32_2022531_95644,50,50
PPO,MA_1p5BP_newS,2,64,3030.797266370991,58.68813042904804,-106.88065194620017,26.120385152664134,2022-05-31 13:40:38.317096,74381,2022-05-31 17:06:14.627845,/media/leandro/EXTRA/DEV/DRL/Resultados/PPO/MA_1p5BP_newS/2M/64/2022531_134038/PPO_MA_1p5BP_newS_64_2022531_134038,50,50
PPO,MA_1p5BP_newS,2,128,-743.5664527181336,16.92141289163839,-890.966471125869,12.021777090401116,2022-05-31 17:06:14.627949,25050,2022-05-31 17:26:39.299657,/media/leandro/EXTRA/DEV/DRL/Resultados/PPO/MA_1p5BP_newS/2M/128/2022531_17614/PPO_MA_1p5BP_newS_128_2022531_17614,50,50
DDQN,MA_1p5BP_newS,2,64,9460.776740535015,89.66058928171313,6891.227746987182,70.63154315465746,2022-05-31 15:13:49.697345,91717,2022-05-31 20:36:15.891642,/media/leandro/EXTRA/DEV/DRL/Resultados/DDQN/MA_1p5BP_newS/2M/64/2022531_151349/DDQN_MA_1p5BP_newS_64_2022531_151349,50,50
A2C,MA_1p5BP_newSt,2,64,8395.501865859342,80.8968639385998,4969.743865762297,62.46438992420572,93050,2022-05-31 16:30:34,2022-05-31 22:05:16,/media/leandro/EXTRA/DEV/DRL/Resultados/A2C/MA_1p5BP_newSt/2M/64/2022531_163034/A2C_MA_1p5BP_newSt_64_2022531_163034,50,50
PPO,MA_1p5BP_newS,2,32,3965.924946454901,56.341789390420196,6021.742230440732,70.5617177751897,2022-05-31 21:01:33.659221,67902,2022-06-01 00:40:06.848738,/media/leandro/EXTRA/DEV/DRL/Resultados/PPO/MA_1p5BP_newS/2M/32/2022531_21133/PPO_MA_1p5BP_newS_32_2022531_21133,50,50
PPO,MA_1p5BP_newS,2,64,-112.31441927281998,21.344122929554974,-555.0023151034695,17.629789463180998,2022-06-01 00:40:06.866152,25050,2022-06-01 01:04:35.223087,/media/leandro/EXTRA/DEV/DRL/Resultados/PPO/MA_1p5BP_newS/2M/64/202261_0406/PPO_MA_1p5BP_newS_64_202261_0406,50,50
PPO,MA_1p5BP_newS,2,128,109.74812420291812,31.317183288090273,979.3472485406526,33.39357445402633,2022-06-01 01:04:35.223200,28360,2022-06-01 01:51:45.017734,/media/leandro/EXTRA/DEV/DRL/Resultados/PPO/MA_1p5BP_newS/2M/128/202261_1435/PPO_MA_1p5BP_newS_128_202261_1435,50,50
DDQN,MA_1p5BP_newS,2,128,8922.238979631225,89.49968678512862,6224.92548153594,66.72949456475848,2022-05-31 20:36:15.891746,90572,2022-06-01 02:01:21.613714,/media/leandro/EXTRA/DEV/DRL/Resultados/DDQN/MA_1p5BP_newS/2M/128/2022531_203615/DDQN_MA_1p5BP_newS_128_2022531_203615,50,50
A2C,MA_1p5BP_newSt,2,128,7519.882049697142,83.80763188816293,9360.18032058608,88.5342152725092,102050,2022-05-31 22:05:16,2022-06-01 04:12:41,/media/leandro/EXTRA/DEV/DRL/Resultados/A2C/MA_1p5BP_newSt/2M/128/2022531_22516/A2C_MA_1p5BP_newSt_128_2022531_22516,50,50
A2C,SA_NewSt,2,32,123.60476784368122,33.63390317674111,39.556905199399594,27.361005787268006,29550,2022-06-04 10:28:30,2022-06-04 11:13:54,/media/leandro/EXTRA/DEV/DRL/Resultados/A2C/SA_NewSt/2M/32/202264_102830/A2C_SA_NewSt_32_202264_102830,50,50
DDQN,SA_NewSt,2,32,6406.594685624076,75.2727675251972,7429.675928895258,75.0466286860433,88550,2022-06-04 10:29:15,2022-06-04 15:31:54,/media/leandro/EXTRA/DEV/DRL/Resultados/DDQN/SA_NewSt/2M/32/202264_102915/DDQN_SA_NewSt_32_202264_102915,50,50
PPO,SA_NewSt,2,32,5269.300276050103,75.68413001496737,8848.748713843981,91.06900579681175,88382,2022-06-04 10:28:43,2022-06-04 15:38:10,/media/leandro/EXTRA/DEV/DRL/Resultados/PPO/SA_NewSt/2M/32/202264_102843/PPO_SA_NewSt_32_202264_102843,50,50
A2C,SA_NewSt,2,64,6967.470042237084,78.16380873696248,8927.674736748351,90.70435010744089,93050,2022-06-04 11:13:54,2022-06-04 16:50:41,/media/leandro/EXTRA/DEV/DRL/Resultados/A2C/SA_NewSt/2M/64/202264_111354/A2C_SA_NewSt_64_202264_111354,50,50
DDQN,SA_NewSt,2,64,5479.772032882253,40.66255808869711,3888.9240504221343,60.539365171895426,78181,2022-06-04 15:31:54,2022-06-04 19:37:10,/media/leandro/EXTRA/DEV/DRL/Resultados/DDQN/SA_NewSt/2M/64/202264_153154/DDQN_SA_NewSt_64_202264_153154,50,50
PPO,SA_NewSt,2,64,6949.482939041225,78.4585909174807,8794.715866848961,91.09957023637,94026,2022-06-04 15:38:10,2022-06-04 21:19:53,/media/leandro/EXTRA/DEV/DRL/Resultados/PPO/SA_NewSt/2M/64/202264_153810/PPO_SA_NewSt_64_202264_153810,50,50
A2C,SA_NewSt,2,128,7827.6621928980885,80.6455491699318,3927.455233419894,63.0006227703779,92554,2022-06-04 16:50:41,2022-06-04 22:01:45,/media/leandro/EXTRA/DEV/DRL/Resultados/A2C/SA_NewSt/2M/128/202264_165041/A2C_SA_NewSt_128_202264_165041,50,50
DDQN,SA_NewSt,2,128,1135.8019622022182,38.93863021316122,3795.273417919673,52.44423375341015,52456,2022-06-04 19:37:10,2022-06-04 22:07:11,/media/leandro/EXTRA/DEV/DRL/Resultados/DDQN/SA_NewSt/2M/128/202264_193710/DDQN_SA_NewSt_128_202264_193710,50,50
PPO,SA_NewSt,2,128,4219.196740248381,70.32077498208642,2641.1493072513836,47.445494528498244,76336,2022-06-04 21:19:53,2022-06-05 00:39:16,/media/leandro/EXTRA/DEV/DRL/Resultados/PPO/SA_NewSt/2M/128/202264_211953/PPO_SA_NewSt_128_202264_211953,50,50
