'Teste', 'Agente', 'Tipo','N maq', 'Tam Net','Max Prod', 'Media Prod','Var Prod','Max Rec',  'Media Rec', 'Var Rec','Max Wp1',  'Media Wp1', 'Var Wp1',\'Max Wp2',  'Media Wp2', 'Var Wp2','Var act1', 'Var ac2'
45,DDQN,MA,2,32,91.0695571899414,88.32280437377976,64.46402120200183,100.0,5.666855653722783,5.833349699689614,1.0,0.8402871749699116,0.0001611143886023035,0.9976477026939392,0.9162880653738975,2.4093928240146024e-05,0.6860472812069726,0.0
50,DDQN,MA,2,32,90.10606384277344,86.02570609960598,108.10647241471747,100.0,5.549788870678834,6.369177023208452,1.0,0.8700737290084362,0.0007920849418224868,0.9980329871177673,0.9064803289175034,6.0725490609754176e-05,0.6356282128800667,0.0034860131153813386
5,A2C,MA,2,32,85.60015869140625,83.25186151936315,50.325091047636256,100.0,4.4829567138371855,7.949398633656727,1.0,0.8958783853948117,0.0007629340059017712,0.9980347752571106,0.8658546349108219,0.00015986710786524766,0.48278909021251487,0.0
10,A2C,MA,2,32,91.18850708007812,88.55290039296986,61.74044251609769,100.0,4.24132671027348,10.303510870522445,1.0,0.7344408704340458,0.00013132222296862575,0.9980341196060181,0.9188199243843556,2.75801706443924e-05,0.23840153886075463,0.0
15,A2C,MA,2,32,86.35606384277344,83.81725229351953,51.25536890353647,100.0,4.418272835687957,7.6738054230579715,1.0,0.8971899350583553,0.0005648087793605693,0.9980325102806091,0.8714019988775253,0.00014139921384549454,0.39337352812848947,0.0
20,A2C,MA,2,32,86.98485565185547,84.48863591723654,53.206539060985804,100.0,4.968180657460771,7.485293793458912,1.0,0.8945395705103875,0.0005459581641838048,0.9980336427688599,0.8779950252473354,0.00011044826083144733,0.3592541560304306,0.0
25,A2C,MA,2,32,88.02265930175781,85.59391554899659,55.75012701494833,100.0,5.127085919293209,7.692562080518969,1.0,0.8872910938560963,0.0005447415499883102,0.9980326294898987,0.8890778716206551,7.431527200068173e-05,0.34710730591725625,0.0
30,A2C,MA,2,32,88.65203857421875,86.29937040728369,56.263124127566336,100.0,5.184351013890509,8.00316847632275,1.0,0.8789970207512379,0.000701569465357175,0.998033344745636,0.8962244283556938,6.975519753109523e-05,0.3461078056673812,0.0
35,A2C,MA,2,32,86.79866790771484,84.30032112382759,54.390812687946905,100.0,4.688458965554171,7.6358465272101705,1.0,0.8969616710543632,0.00047563882177335305,0.9980329275131226,0.8760091205537319,9.005503185916901e-05,0.3435163977231774,0.0
40,A2C,MA,2,32,87.62156677246094,85.09259752819742,57.324542692942046,100.0,5.110771824923651,7.75657324308443,1.0,0.8930828672945499,0.0003283254875893798,0.9983096718788147,0.8838786910772324,7.098157349681768e-05,0.5724723844974065,0.0
45,A2C,MA,2,32,90.75360107421875,87.65253004534492,71.57550164680671,100.0,4.940698197592741,7.870115298658459,1.0,0.866486805409193,0.00018569852247774386,0.9980342388153076,0.9087700573503971,0.0001396141638574194,0.18141054410326068,0.0
50,A2C,MA,2,32,84.47406005859375,82.50468679549157,50.97347481720658,100.0,3.180661837855677,6.787501916724318,1.0,0.9061031118035316,0.00018051473306978627,0.9983102083206177,0.857736800789833,0.00016252502994493022,0.5827481062067666,0.0
5,PPO,MA,2,32,27.962331771850586,25.541407316744685,12.5545722724283,2.857792854309082,1.0810491468788992,21.775607672347473,1.0,0.8308091851472854,0.006895894920780925,0.998309850692749,0.8993737386465073,0.000439258904935917,0.0,0.04289225939338887
